,close,high,high_limit,low,volume,day
2016-01-06-000033.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000033.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000033.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000034.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000034.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000034.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000034.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000035.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000035.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000035.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000035.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000036.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000036.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000036.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000036.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000037.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000037.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000037.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000037.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000038.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000038.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000038.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000038.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000039.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000039.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000039.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000039.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000040.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000040.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000040.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000040.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000042.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000042.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000042.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000042.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000043.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000043.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000043.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000043.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000045.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000045.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000045.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000045.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000046.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000046.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000046.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000046.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000048.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000048.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000048.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000048.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000049.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000049.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000049.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000049.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000050.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000050.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000050.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000050.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000055.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000055.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000055.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000055.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000056.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000056.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000056.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000056.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000058.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000058.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000058.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000058.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000059.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000059.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000059.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000059.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000060.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000060.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000060.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000060.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000061.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000061.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000061.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000061.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000062.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000062.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000062.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000062.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000063.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000063.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000063.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000063.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000065.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000065.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000065.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000065.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000066.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000066.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000066.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000066.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000068.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000068.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000068.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000068.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000069.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000069.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000069.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000069.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000070.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000070.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000070.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000070.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000078.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000078.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000078.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000078.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000088.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000088.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000088.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000088.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000089.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000089.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000089.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000089.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000090.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000090.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000090.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000090.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000096.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000096.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000096.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000096.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000099.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000099.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000099.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000099.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
