,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,top_count,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
600117.XSHG_2017-07-31,0.988372093023,2017-07-31 00:00:00,2017-07-28 00:00:00,600117.XSHG,7.11,7.11,7.11,6.9,7.11,115138436.0,34.0,7.82,7.82,7.82,6.9,6.99,122236474.0,35.0,8.6,8.6,8.6,8.1,8.21,136902690.0,36.0,8.85,9.06,9.46,8.37,8.5,132909310.0,37.0,3.0,2.0,8.11,51194600.0,09:49:00,1.0,0,5,0.100619195046,9275871.08434,6.79,91513743.0,4.63,False,False
600121.XSHG_2017-07-20,0.968102073365,2017-07-20 00:00:00,2017-07-19 00:00:00,600121.XSHG,5.69,5.69,5.73,5.46,5.48,19103725.0,27.0,5.97,5.97,5.97,5.73,5.83,32270082.0,28.0,6.08,6.27,6.27,6.05,6.16,35247588.0,29.0,6.18,6.22,6.38,6.06,6.07,21148110.0,30.0,2.0,1.0,6.1,7421600.0,09:34:00,0.0,0,0,0.0492091388401,7832298.54762,5.7,24741427.0,4.42,True,False
600121.XSHG_2017-07-24,0.967642526965,2017-07-24 00:00:00,2017-07-21 00:00:00,600121.XSHG,6.08,6.27,6.27,6.05,6.16,35247588.0,29.0,6.18,6.22,6.38,6.06,6.07,21148110.0,30.0,6.2,6.49,6.49,6.18,6.33,26821144.0,31.0,6.4,6.42,6.51,6.14,6.28,22481286.0,32.0,1.0,1.0,6.27,8955900.0,09:57:00,1.0,0,0,0.0492091388401,7818139.18072,5.97,32270082.0,4.42,True,False
600121.XSHG_2017-09-05,0.981402002861,2017-09-05 00:00:00,2017-09-04 00:00:00,600121.XSHG,6.65,6.65,6.65,6.34,6.43,14940199.0,60.0,6.66,6.95,6.98,6.53,6.8,31402378.0,61.0,6.91,6.99,6.99,6.53,6.63,26031286.0,62.0,7.26,7.26,7.26,6.86,6.86,24555209.0,63.0,1.0,2.0,6.53,15290400.0,13:38:00,2.0,0,1,0.0505529225908,9643624.49383,6.57,35247588.0,4.42,True,False
600121.XSHG_2017-09-06,1.01928374656,2017-09-06 00:00:00,2017-09-05 00:00:00,600121.XSHG,6.66,6.95,6.98,6.53,6.8,31402378.0,61.0,6.91,6.99,6.99,6.53,6.63,26031286.0,62.0,7.26,7.26,7.26,6.86,6.86,24555209.0,63.0,6.93,7.46,7.62,6.9,7.4,33739861.0,64.0,1.0,1.0,6.86,9961700.0,09:47:00,2.0,0,1,0.0506512301013,9662843.4875,6.65,35247588.0,4.42,True,False
600125.XSHG_2017-08-21,0.957818181818,2017-08-21 00:00:00,2017-08-18 00:00:00,600125.XSHG,11.36,11.97,12.06,11.26,11.57,105762237.0,49.0,12.5,12.5,12.5,11.43,11.5,112138613.0,50.0,13.62,13.75,13.75,12.81,12.9,214429676.0,51.0,12.96,13.34,14.98,12.5,13.17,161198640.0,52.0,2.0,1.0,13.0,63005300.0,09:36:00,0.0,0,2,0.100352112676,35120559.0238,12.09,119856418.0,7.65,False,False
600149.XSHG_2017-08-08,1.0063542494,2017-08-08 00:00:00,2017-08-07 00:00:00,600149.XSHG,11.85,11.85,11.85,11.85,11.85,1709404.0,40.0,11.99,12.28,12.44,11.91,12.01,14362124.0,41.0,12.59,12.59,12.59,12.1,12.1,16864844.0,42.0,13.22,13.22,13.22,12.59,12.67,23579131.0,43.0,1.0,2.0,12.15,5074500.0,09:43:00,2.0,0,2,0.0500417014178,20508058.7606,29.28,127074386.0,10.17,True,False
600149.XSHG_2017-08-09,1.02118003026,2017-08-09 00:00:00,2017-08-08 00:00:00,600149.XSHG,11.99,12.28,12.44,11.91,12.01,14362124.0,41.0,12.59,12.59,12.59,12.1,12.1,16864844.0,42.0,13.22,13.22,13.22,12.59,12.67,23579131.0,43.0,13.13,13.5,13.88,12.84,13.5,20262466.0,44.0,2.0,1.0,12.6,11365800.0,10:05:00,2.0,0,5,0.0500417014178,20654463.1286,29.28,127074386.0,10.17,True,False
600189.XSHG_2017-06-22,0.978424015009,2017-06-22 00:00:00,2017-06-21 00:00:00,600189.XSHG,9.02,9.08,9.97,8.97,9.07,1825762.0,7.0,9.69,9.92,9.92,9.17,9.17,25327562.0,8.0,10.57,10.66,10.66,9.33,9.54,40674959.0,9.0,10.52,10.9,11.63,10.25,10.43,38236217.0,10.0,1.0,1.0,9.33,34639700.0,14:38:00,0.0,0,0,0.0908152734778,5048588.8,12.29,14724716.0,8.03,False,False
600191.XSHG_2017-07-24,0.926927502877,2017-07-24 00:00:00,2017-07-21 00:00:00,600191.XSHG,14.36,14.79,15.0,13.15,13.42,51972840.0,29.0,15.8,15.8,15.8,14.02,14.15,56847789.0,30.0,16.55,17.38,17.38,16.03,16.2,76275407.0,31.0,18.07,18.21,18.21,15.96,16.11,67026438.0,32.0,2.0,1.0,16.08,22009400.0,09:51:00,1.0,0,2,0.100278551532,12526836.6829,13.85,71387766.0,8.29,False,False
