,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
002302.XSHE_2017-08-03,1.0,2017-08-03 00:00:00,2017-08-02 00:00:00,002302.XSHE,21.81,22.29,24.37,21.65,22.15,30739174.0,16.0,21.23,22.16,23.99,21.01,21.91,30925400.0,17.0,23.35,23.35,23.35,21.06,21.06,78790024.0,18.0,22.52,23.49,25.69,22.41,23.35,60590653.0,19.0,1.0,1.0,21.06,73927500.0,14:50:00,1.0,0,0.0998586905323,55584823.2838,26.14,130816486.0,14.59,False,False
002340.XSHE_2017-07-31,0.97458703939,2017-07-31 00:00:00,2017-07-28 00:00:00,002340.XSHE,6.84,6.97,7.77,6.6,6.93,299110335.0,13.0,7.15,7.3,7.52,6.71,6.75,376466240.0,14.0,7.75,7.87,7.87,7.08,7.13,483166804.0,15.0,7.6,7.78,8.53,7.46,7.67,304657158.0,16.0,1.0,1.0,7.09,454559900.0,14:47:00,1.0,0,0.0995260663507,119929405.882,7.09,514956659.0,4.71,False,False
002350.XSHE_2017-08-04,0.932907348243,2017-08-04 00:00:00,2017-08-03 00:00:00,002350.XSHE,13.87,14.35,14.81,13.18,13.44,33778421.0,17.0,14.23,14.8,15.26,13.74,13.74,39135658.0,18.0,15.1,15.65,15.65,14.3,14.8,65324420.0,19.0,14.84,14.98,16.61,14.41,14.6,42220795.0,20.0,1.0,1.0,14.31,25412200.0,10:19:00,1.0,0,0.0611384399157,22763538.9178,20.98,99778784.0,9.77,False,False
002386.XSHE_2017-08-08,1.0,2017-08-08 00:00:00,2017-08-07 00:00:00,002386.XSHE,9.19,9.68,10.53,9.14,9.52,54483069.0,19.0,9.36,9.43,10.11,9.07,9.32,33525140.0,20.0,10.3,10.3,10.3,9.33,9.36,107058577.0,21.0,10.2,10.39,11.33,9.98,10.3,60377387.0,22.0,1.0,1.0,9.33,44824200.0,10:20:00,1.0,0,0.100427350427,11539425.5357,10.76,113579120.0,6.26,False,False
002423.XSHE_2017-08-03,1.01288475304,2017-08-03 00:00:00,2017-08-02 00:00:00,002423.XSHE,13.1,13.59,15.13,12.96,13.55,9671325.0,16.0,12.7,13.35,14.41,12.67,13.08,8495700.0,17.0,13.97,13.97,13.97,12.32,12.66,12662200.0,18.0,13.8,15.03,15.37,13.63,14.15,25125554.0,19.0,1.0,1.0,12.32,10306100.0,14:51:00,1.0,0,0.1,4396856.875,14.2,16368292.0,9.31,False,False
002430.XSHE_2017-08-02,0.940129449838,2017-08-02 00:00:00,2017-08-01 00:00:00,002430.XSHE,11.61,11.75,12.93,11.23,11.5,24097709.0,15.0,11.24,12.37,12.77,11.2,11.73,31882666.0,16.0,12.05,12.36,12.36,10.8,11.23,45063398.0,17.0,11.41,11.98,13.26,11.34,11.62,25125439.0,18.0,1.0,1.0,10.8,32449900.0,13:39:00,1.0,0,0.0720640569395,6690832.24706,12.57,40118739.0,7.91,False,False
002430.XSHE_2017-08-10,1.0,2017-08-10 00:00:00,2017-08-09 00:00:00,002430.XSHE,11.88,12.03,12.54,11.23,11.34,21338138.0,21.0,11.58,11.8,13.07,11.33,11.77,14956660.0,22.0,12.74,12.74,12.74,11.56,11.58,44785491.0,23.0,12.42,12.74,14.01,12.03,12.74,36628869.0,24.0,1.0,1.0,11.58,25896700.0,13:15:00,1.0,0,0.100172711572,7674664.07143,12.57,45063398.0,7.91,False,False
002497.XSHE_2017-08-02,0.998603351955,2017-08-02 00:00:00,2017-08-01 00:00:00,002497.XSHE,12.36,12.49,13.2,11.6,11.97,93135121.0,15.0,13.02,13.58,13.6,12.02,12.2,140265105.0,16.0,14.32,14.32,14.32,13.73,14.12,176166282.0,17.0,14.8,15.25,15.75,13.85,14.3,187528833.0,18.0,1.0,1.0,14.32,18633800.0,09:30:00,0.0,0,0.099846390169,62874266.2051,13.31,188503148.0,7.57,False,False
002632.XSHE_2017-08-07,0.996913580247,2017-08-07 00:00:00,2017-08-04 00:00:00,002632.XSHE,9.07,9.14,9.82,8.78,8.8,6015101.0,18.0,8.84,9.15,9.98,8.83,9.1,4802963.0,19.0,9.64,9.72,9.72,8.8,8.8,21772789.0,20.0,9.62,9.69,10.6,9.31,9.69,15813100.0,21.0,1.0,1.0,8.82,6650700.0,09:59:00,1.0,0,0.0904977375566,4656923.28235,10.91,25147947.0,7.3,False,False
002703.XSHE_2017-07-31,1.02905569007,2017-07-31 00:00:00,2017-07-28 00:00:00,002703.XSHE,11.57,11.94,12.86,11.38,11.5,23011928.0,13.0,11.23,11.65,12.73,11.13,11.61,16615933.0,14.0,12.39,12.39,12.39,11.26,11.26,20517395.0,15.0,12.45,13.32,13.63,12.36,12.75,56215776.0,16.0,1.0,1.0,11.3,12666400.0,09:52:00,0.0,0,0.103294746215,12977150.3253,14.55,35484460.0,7.93,False,False
002753.XSHE_2017-07-26,1.00486941124,2017-07-26 00:00:00,2017-07-25 00:00:00,002753.XSHE,20.98,21.34,22.88,20.37,20.83,8440313.0,10.0,20.54,20.85,23.08,19.98,20.85,6821526.0,11.0,22.59,22.59,22.59,20.24,20.39,23215359.0,12.0,24.25,24.47,24.85,22.16,22.7,24899943.0,13.0,1.0,1.0,20.24,5410500.0,09:46:00,0.0,0,0.0998052580331,3399868.72289,21.99,18358067.0,14.78,False,False
002797.XSHE_2017-08-02,1.01824817518,2017-08-02 00:00:00,2017-08-01 00:00:00,002797.XSHE,9.26,9.36,9.92,9.01,9.01,120743739.0,15.0,9.96,10.18,10.19,9.35,9.39,304321718.0,16.0,10.96,10.96,10.96,9.82,9.91,394014482.0,17.0,11.45,11.65,12.06,10.94,11.16,418910656.0,18.0,1.0,1.0,9.82,306702200.0,13:17:00,0.0,0,0.100401606426,72377152.6988,19.29,303016761.0,8.02,False,False
002802.XSHE_2017-07-27,1.00203114421,2017-07-27 00:00:00,2017-07-26 00:00:00,002802.XSHE,41.02,41.02,44.37,39.39,40.48,5872223.0,11.0,40.28,40.88,45.12,39.58,40.1,4759113.0,12.0,44.31,44.31,44.31,39.31,39.66,11337504.0,13.0,42.7,44.67,48.74,42.54,44.4,8948642.0,14.0,1.0,1.0,39.33,8407700.0,10:57:00,3.0,1,0.100049652433,2635316.96341,66.02,12610616.0,29.85,False,False
002802.XSHE_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,002802.XSHE,35.73,36.57,39.83,35.5,36.5,2490408.0,22.0,34.78,35.64,39.3,34.3,35.64,2921377.0,23.0,37.42,38.26,38.26,34.52,34.78,6251334.0,24.0,,,,,,,,1.0,1.0,34.52,1993900.0,09:53:00,4.0,1,0.0792996910402,2791183.7037,66.02,12610616.0,29.85,False,False
002809.XSHE_2017-07-18,1.05170492534,2017-07-18 00:00:00,2017-07-17 00:00:00,002809.XSHE,44.38,46.2,48.59,44.13,44.53,7638246.0,4.0,40.79,44.98,48.82,39.94,44.44,6397363.0,5.0,44.87,44.87,44.87,41.3,41.3,4758395.0,6.0,45.92,47.19,49.36,44.9,47.19,11318994.0,7.0,1.0,1.0,41.7,3321200.0,09:38:00,1.0,0,0.100078595756,5037878.62025,58.47,16237077.0,28.3,False,False
002827.XSHE_2017-08-01,0.954957772912,2017-08-01 00:00:00,2017-07-31 00:00:00,002827.XSHE,28.55,29.26,31.17,27.82,28.01,9277238.0,14.0,29.06,29.19,31.41,28.01,28.39,9475099.0,15.0,31.4,31.97,31.97,28.35,28.8,16738005.0,16.0,30.3,30.75,34.54,29.49,30.53,11858083.0,17.0,1.0,1.0,28.35,15205100.0,14:47:00,2.0,1,0.0805230557467,3467197.39286,36.89,18892208.0,22.21,False,False
300052.XSHE_2017-07-27,1.01851851852,2017-07-27 00:00:00,2017-07-26 00:00:00,300052.XSHE,14.92,15.04,15.95,14.35,14.37,9363677.0,11.0,14.73,15.04,16.41,14.52,14.92,6429979.0,12.0,16.2,16.2,16.2,14.46,14.58,14661284.0,13.0,16.4,16.88,17.82,16.12,16.5,22507948.0,14.0,1.0,1.0,14.46,12234800.0,11:28:00,0.0,0,0.0997963340122,7587196.90588,25.5,14648485.0,13.2,False,False
300080.XSHE_2017-07-28,1.04501216545,2017-07-28 00:00:00,2017-07-27 00:00:00,300080.XSHE,7.38,7.58,8.13,7.34,7.34,9308159.0,12.0,7.47,7.54,8.12,7.31,7.37,12808697.0,13.0,8.22,8.22,8.22,7.48,7.5,28054678.0,14.0,8.65,8.97,9.04,8.45,8.59,64869735.0,15.0,1.0,1.0,7.5,19977100.0,10:45:00,0.0,0,0.100401606426,8062647.65476,9.79,68410419.0,6.83,False,False
300080.XSHE_2017-08-02,0.903361344538,2017-08-02 00:00:00,2017-08-01 00:00:00,300080.XSHE,8.65,8.97,9.04,8.45,8.59,64869735.0,15.0,8.65,9.37,9.52,8.54,9.05,49892567.0,16.0,9.18,9.52,9.52,8.71,8.82,89655834.0,17.0,8.36,8.69,10.1,8.26,8.6,69089020.0,18.0,1.0,1.0,8.72,65293900.0,13:13:00,1.0,0,0.100401606426,8002841.57831,9.68,68410419.0,6.83,False,False
300093.XSHE_2017-07-18,1.04737183647,2017-07-18 00:00:00,2017-07-17 00:00:00,300093.XSHE,15.23,15.5,17.36,15.05,15.46,9507649.0,4.0,14.01,15.18,16.75,13.72,15.07,8835466.0,5.0,15.41,15.41,15.41,14.05,14.14,8385974.0,6.0,16.95,16.95,16.95,15.78,16.14,21450381.0,7.0,1.0,1.0,14.05,6981200.0,11:08:00,1.0,0,0.100371747212,2859166.8,24.55,17554032.0,13.42,False,False
300133.XSHE_2017-08-08,0.978056426332,2017-08-08 00:00:00,2017-08-07 00:00:00,300133.XSHE,11.34,11.6,12.67,11.26,11.52,25326562.0,19.0,11.6,11.96,12.47,11.45,11.45,42430760.0,20.0,12.76,12.76,12.76,11.51,11.6,80312004.0,21.0,12.57,12.77,14.04,12.3,12.48,61746085.0,22.0,1.0,1.0,11.55,68552900.0,14:48:00,0.0,0,0.1,11880366.3333,11.97,68786633.0,8.99,False,False
300215.XSHE_2017-07-18,1.01208981002,2017-07-18 00:00:00,2017-07-17 00:00:00,300215.XSHE,11.13,11.86,12.11,11.01,11.2,41040505.0,4.0,10.53,11.25,12.24,10.35,11.1,26402417.0,5.0,11.58,11.58,11.58,10.53,10.53,23378414.0,6.0,11.75,11.9,12.74,11.33,11.72,41387598.0,7.0,1.0,1.0,10.55,18755500.0,13:27:00,1.0,0,0.0999000999001,12290419.5476,15.32,39092209.0,9.58,False,False
300295.XSHE_2017-07-26,0.962282398453,2017-07-26 00:00:00,2017-07-25 00:00:00,300295.XSHE,19.1,19.98,20.55,19.02,19.57,14266990.0,10.0,18.8,18.95,21.01,18.24,18.8,7788199.0,11.0,20.31,20.68,20.68,18.52,18.95,19543641.0,12.0,21.5,22.25,22.34,19.7,19.9,24276411.0,13.0,1.0,1.0,18.52,17515300.0,14:31:00,1.0,0,0.10011778563,3016806.25882,27.48,6892094.0,16.02,False,False
300344.XSHE_2017-08-11,,2017-08-11 00:00:00,2017-08-10 00:00:00,300344.XSHE,13.2,13.57,14.28,12.68,12.8,43276592.0,22.0,12.98,13.39,14.52,12.6,13.26,31497543.0,23.0,13.96,14.28,14.28,12.77,12.82,76814874.0,24.0,,,,,,,,1.0,1.0,12.78,54602600.0,13:55:00,1.0,0,0.075500770416,33084206.7917,19.52,109884400.0,9.5,False,False
