,change,date,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,minute_low,minute_volume,minute,circap,isnew,capq,st
300546.XSHE_2017-05-16,1.03533648436,2017-05-16 00:00:00,300546.XSHE,38.17,38.17,38.17,34.51,34.51,2770512.0,8.0,40.39,41.99,41.99,39.71,41.9,11583468.0,9.0,44.43,44.43,44.43,40.35,40.39,14389958.0,10.0,46.08,48.84,48.87,45.67,46.0,16499799.0,11.0,1.0,40.46,7111200.0,09:58:00,310.0,False,0.0938540720557,False
300554.XSHE_2017-05-09,0.990261321214,2017-05-09 00:00:00,300554.XSHE,50.92,50.92,50.92,50.92,50.92,42500.0,3.0,56.01,56.01,56.01,56.01,56.01,123600.0,4.0,61.61,61.61,61.61,57.52,58.9,7928369.0,5.0,59.84,63.99,67.77,59.0,61.01,8609915.0,6.0,6.0,58.01,3733900.0,09:47:00,48.0,True,0.0145322434151,False
300604.XSHE_2017-05-05,0.980352440753,2017-05-05 00:00:00,300604.XSHE,40.8,40.8,40.8,40.8,40.8,79000.0,1.0,44.88,44.88,44.88,42.81,44.88,11649180.0,2.0,46.5,49.37,49.37,43.58,44.12,11521480.0,3.0,45.0,49.8,51.15,44.58,48.4,7691663.0,4.0,4.0,43.6,5077900.0,10:27:00,77.5,True,0.0234635180139,False
300640.XSHE_2017-05-04,0.922588235294,2017-05-04 00:00:00,300640.XSHE,35.13,35.13,35.13,35.13,35.13,70200.0,0.0,38.64,38.64,38.64,38.64,38.64,101200.0,1.0,40.22,42.5,42.5,39.81,42.5,11828121.0,2.0,37.9,39.76,44.24,37.74,39.21,7375230.0,3.0,3.0,,,,36.0,True,0.0108991825613,False
300647.XSHE_2017-05-17,1.04540023895,2017-05-17 00:00:00,300647.XSHE,27.67,27.67,27.67,27.67,27.67,49664.0,8.0,30.44,30.44,30.44,30.44,30.44,206941.0,9.0,33.48,33.48,33.48,32.68,33.47,4905031.0,10.0,33.88,36.67,36.83,33.6,35.0,18885649.0,11.0,11.0,33.0,0.0,09:30:00,113.5,True,0.0343627005752,False
300648.XSHE_2017-05-10,1.00323074307,2017-05-10 00:00:00,300648.XSHE,48.6,48.6,48.6,48.6,48.6,59724.0,4.0,53.46,53.46,53.46,53.46,53.46,229468.0,5.0,58.81,58.81,58.81,58.81,58.81,356224.0,6.0,60.31,62.67,64.69,55.88,59.0,11109308.0,7.0,7.0,,,,128.5,True,0.0389040266424,False
300650.XSHE_2017-05-17,0.952609363008,2017-05-17 00:00:00,300650.XSHE,43.07,43.07,43.07,43.07,43.07,41300.0,8.0,47.38,47.38,47.38,47.38,47.38,105800.0,9.0,52.12,52.12,52.12,49.01,50.0,10117896.0,10.0,46.91,50.1,57.33,46.91,49.65,6904341.0,11.0,11.0,49.3,8920300.0,14:44:00,44.0,True,0.0133212231305,False
600149.XSHG_2017-05-17,1.0,2017-05-17 00:00:00,600149.XSHG,13.15,13.74,14.08,13.02,13.1,25736900.0,9.0,13.81,13.81,13.81,12.86,13.0,26804568.0,10.0,14.5,14.5,14.5,14.03,14.1,14592705.0,11.0,14.3,15.1,15.23,14.06,14.5,42983527.0,12.0,2.0,14.1,10266600.0,09:43:00,1771.5,False,0.536330608538,True
600182.XSHG_2017-05-17,0.974295190713,2017-05-17 00:00:00,600182.XSHG,21.88,21.98,22.92,21.65,21.8,1089242.0,9.0,22.97,22.97,22.97,21.84,21.84,2187770.0,10.0,23.76,24.12,24.12,23.11,23.11,3874900.0,11.0,23.6,23.87,24.95,23.33,23.5,1292100.0,12.0,2.0,23.2,620500.0,09:36:00,1287.0,False,0.389645776567,True
600228.XSHG_2017-05-15,1.10261026103,2017-05-15 00:00:00,600228.XSHG,10.08,10.67,11.13,10.07,10.59,5523646.0,7.0,10.58,10.58,10.58,9.97,10.05,5637239.0,8.0,11.11,11.11,11.11,10.58,10.76,2233222.0,9.0,11.67,11.67,11.67,11.67,11.67,339700.0,10.0,2.0,10.58,921900.0,09:37:00,744.0,False,0.225249772934,True
600228.XSHG_2017-05-16,1.08740359897,2017-05-16 00:00:00,600228.XSHG,10.58,10.58,10.58,9.97,10.05,5637239.0,8.0,11.11,11.11,11.11,10.58,10.76,2233222.0,9.0,11.67,11.67,11.67,11.67,11.67,339700.0,10.0,12.25,12.25,12.25,12.25,12.25,131903.0,11.0,3.0,,,,773.0,False,0.234029669997,True
600228.XSHG_2017-05-17,1.03591836735,2017-05-17 00:00:00,600228.XSHG,11.11,11.11,11.11,10.58,10.76,2233222.0,9.0,11.67,11.67,11.67,11.67,11.67,339700.0,10.0,12.25,12.25,12.25,12.25,12.25,131903.0,11.0,12.86,12.86,12.86,12.25,12.69,7242200.0,12.0,4.0,,,,820.0,False,0.248259158341,True
600401.XSHG_2017-05-16,1.0421686747,2017-05-16 00:00:00,600401.XSHG,1.5,1.51,1.58,1.47,1.49,85057028.0,7.0,1.58,1.58,1.58,1.49,1.5,115771436.0,8.0,1.66,1.66,1.66,1.57,1.59,85792514.0,9.0,1.66,1.74,1.74,1.64,1.73,166501879.0,10.0,2.0,1.57,21550200.0,09:36:00,2249.0,False,0.680896155011,True
600401.XSHG_2017-05-17,0.925287356322,2017-05-17 00:00:00,600401.XSHG,1.58,1.58,1.58,1.49,1.5,115771436.0,8.0,1.66,1.66,1.66,1.57,1.59,85792514.0,9.0,1.66,1.74,1.74,1.64,1.73,166501879.0,10.0,1.61,1.66,1.74,1.59,1.61,79471748.0,11.0,3.0,1.7,20639800.0,09:33:00,2244.5,False,0.67953375719,True
600476.XSHG_2017-05-16,1.02765167148,2017-05-16 00:00:00,600476.XSHG,20.03,20.58,22.5,19.84,20.21,2080852.0,8.0,22.03,22.03,22.03,19.81,20.07,3236054.0,9.0,24.23,24.23,24.23,22.5,22.8,14899992.0,10.0,25.96,26.65,26.65,24.18,24.9,21364672.0,11.0,2.0,22.78,2075100.0,09:32:00,1241.0,False,0.375719043294,False
600476.XSHG_2017-05-17,0.930581613508,2017-05-17 00:00:00,600476.XSHG,22.03,22.03,22.03,19.81,20.07,3236054.0,9.0,24.23,24.23,24.23,22.5,22.8,14899992.0,10.0,25.96,26.65,26.65,24.18,24.9,21364672.0,11.0,23.9,25.1,28.56,23.71,24.8,12740952.0,12.0,3.0,24.18,16635200.0,14:38:00,1353.0,False,0.409627611262,False
600581.XSHG_2017-05-05,0.964532871972,2017-05-05 00:00:00,600581.XSHG,9.55,9.55,9.55,8.88,8.93,66374422.0,0.0,10.51,10.51,10.51,10.0,10.51,48809397.0,1.0,11.32,11.56,11.56,10.82,11.3,161142323.0,2.0,10.22,11.96,12.45,10.19,11.15,142481708.0,3.0,3.0,11.0,13831100.0,09:31:00,2330.0,False,0.705419315774,False
600629.XSHG_2017-05-05,1.03995299647,2017-05-05 00:00:00,600629.XSHG,21.1,21.3,23.4,20.72,21.01,8244148.0,1.0,23.21,23.21,23.21,20.81,20.88,17253254.0,2.0,25.53,25.53,25.53,23.8,23.97,18528934.0,3.0,24.25,26.98,28.08,23.7,26.55,31979454.0,4.0,2.0,23.91,4533700.0,09:32:00,2355.5,False,0.713139570088,False
600747.XSHG_2017-05-16,0.988636363636,2017-05-16 00:00:00,600747.XSHG,2.39,2.46,2.56,2.32,2.43,30327404.0,7.0,2.51,2.51,2.51,2.37,2.4,23531947.0,8.0,2.61,2.64,2.64,2.48,2.5,34125891.0,9.0,2.57,2.65,2.74,2.57,2.61,21201105.0,10.0,2.0,2.49,32205500.0,14:55:00,759.0,False,0.229791099001,True
600791.XSHG_2017-05-16,1.02236024845,2017-05-16 00:00:00,600791.XSHG,6.65,6.77,7.38,6.56,6.68,5725051.0,8.0,7.32,7.32,7.32,6.6,6.64,11543638.0,9.0,8.05,8.05,8.05,7.83,8.05,19730135.0,10.0,8.31,8.81,8.86,8.15,8.23,55643467.0,11.0,2.0,8.05,0.0,09:30:00,1138.0,False,0.344535270966,False
600874.XSHG_2017-05-12,1.03247330961,2017-05-12 00:00:00,600874.XSHG,18.58,19.7,20.97,17.54,18.71,144415093.0,6.0,20.44,20.44,20.44,18.06,18.21,160622297.0,7.0,22.48,22.48,22.48,20.78,21.3,126473429.0,8.0,24.29,24.73,24.73,23.01,23.21,168422793.0,9.0,2.0,20.8,97241500.0,11:05:00,2985.0,False,0.903723887375,False
600874.XSHG_2017-05-15,0.970481196927,2017-05-15 00:00:00,600874.XSHG,20.44,20.44,20.44,18.06,18.21,160622297.0,7.0,22.48,22.48,22.48,20.78,21.3,126473429.0,8.0,24.29,24.73,24.73,23.01,23.21,168422793.0,9.0,24.69,24.93,26.72,23.68,24.0,138712096.0,10.0,3.0,23.11,43300500.0,09:55:00,3017.0,False,0.913412049652,False
